"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"01.07.2022","118,95","118,95","118,95","118,95","0,47%"
"03.07.2022","119,38","119,45","119,50","119,31","0,36%"
"04.07.2022","119,11","119,39","119,64","119,06","-0,22%"
"05.07.2022","119,61","119,61","119,61","119,61","0,42%"
"06.07.2022","118,88","118,88","118,88","118,88","-0,61%"
"07.07.2022","118,08","118,08","118,08","118,08","-0,67%"
"08.07.2022","117,42","117,42","117,42","117,42","-0,56%"
"11.07.2022","118,19","118,19","118,19","118,19","0,66%"
"12.07.2022","118,47","118,47","118,47","118,47","0,24%"
"13.07.2022","118,77","118,77","118,77","118,77","0,25%"
"14.07.2022","118,42","118,42","118,42","118,42","-0,29%"
"15.07.2022","118,56","118,56","118,56","118,56","0,12%"
"18.07.2022","118,38","118,38","118,38","118,38","-0,15%"
"19.07.2022","117,88","117,88","117,88","117,88","-0,42%"
"20.07.2022","117,66","117,66","117,66","117,66","-0,19%"
"21.07.2022","118,78","118,78","118,78","118,78","0,95%"
"22.07.2022","119,78","119,78","119,78","119,78","0,84%"
"25.07.2022","119,56","119,56","119,56","119,56","-0,18%"
"26.07.2022","119,84","119,84","119,84","119,84","0,23%"
"27.07.2022","120,41","120,41","120,41","120,41","0,48%"
"28.07.2022","120,97","120,97","120,97","120,97","0,47%"
"29.07.2022","121,14","121,00","121,03","121,00","0,14%"
"01.08.2022","121,39","121,39","121,39","121,39","0,21%"
"02.08.2022","120,16","120,16","120,16","120,16","-1,01%"
"03.08.2022","120,14","120,14","120,14","120,14","-0,02%"
"04.08.2022","120,80","120,80","120,80","120,80","0,55%"
"05.08.2022","119,45","119,45","119,45","119,45","-1,12%"
"08.08.2022","119,95","119,95","119,95","119,95","0,42%"
"09.08.2022","119,59","119,59","119,59","119,59","-0,30%"
"10.08.2022","119,86","119,86","119,86","119,86","0,23%"
"11.08.2022","119,20","119,20","119,20","119,20","-0,55%"
"12.08.2022","119,38","119,38","119,38","119,38","0,15%"
"15.08.2022","119,81","119,81","119,81","119,81","0,36%"
"16.08.2022","119,50","119,50","119,50","119,50","-0,26%"
"17.08.2022","118,88","119,41","119,41","119,41","-0,52%"
"18.08.2022","118,97","118,97","118,97","118,97","0,08%"
"19.08.2022","118,22","118,22","118,22","118,22","-0,63%"
"22.08.2022","117,81","118,22","118,22","118,22","-0,35%"
"23.08.2022","117,73","117,73","117,73","117,73","-0,07%"
"24.08.2022","117,34","117,34","117,34","117,34","-0,33%"
"25.08.2022","117,89","117,75","117,75","117,75","0,47%"
"26.08.2022","117,67","117,89","117,89","117,89","-0,19%"
"29.08.2022","117,11","117,11","117,11","117,11","-0,48%"
"30.08.2022","117,08","117,08","117,08","117,08","-0,03%"
"31.08.2022","117,00","117,47","117,47","116,42","-0,07%"
"01.09.2022","116,12","116,31","116,31","116,12","-0,75%"
"02.09.2022","117,00","117,00","117,00","117,00","0,76%"
"04.09.2022","116,61","116,66","116,84","116,61","-0,33%"
"05.09.2022","116,41","116,61","116,69","116,14","-0,17%"
"06.09.2022","115,94","115,94","115,94","115,94","-0,40%"
"07.09.2022","116,52","116,00","116,00","116,00","0,50%"
"08.09.2022","116,31","115,95","117,00","115,89","-0,18%"
"09.09.2022","116,08","116,88","116,88","116,06","-0,20%"
"12.09.2022","115,95","115,95","115,95","115,95","-0,11%"
"13.09.2022","115,22","115,78","115,78","115,23","-0,63%"
"14.09.2022","115,23","114,88","115,41","114,88","0,01%"
"15.09.2022","114,70","114,64","114,64","114,31","-0,46%"
"16.09.2022","114,95","114,52","114,62","114,52","0,22%"
"19.09.2022","114,56","114,84","115,00","114,84","-0,34%"
"20.09.2022","114,05","114,56","114,56","113,84","-0,45%"
"21.09.2022","114,58","114,47","114,52","113,58","0,46%"
"22.09.2022","113,02","113,94","114,28","112,81","-1,36%"
"23.09.2022","112,80","112,70","113,14","112,02","-0,19%"
"26.09.2022","111,56","112,80","112,80","111,25","-1,10%"
"27.09.2022","111,08","111,39","112,23","110,94","-0,43%"
"28.09.2022","113,06","111,23","113,16","110,97","1,78%"
"29.09.2022","112,75","112,69","112,81","111,94","-0,27%"
"30.09.2022","112,38","112,34","113,14","112,34","-0,33%"
"03.10.2022","113,48","112,41","114,03","112,41","0,98%"
"04.10.2022","113,75","113,86","114,12","113,58","0,24%"
"05.10.2022","112,77","113,66","113,66","112,55","-0,86%"
"06.10.2022","112,23","112,75","112,75","112,11","-0,48%"
"07.10.2022","111,75","112,03","112,03","111,58","-0,43%"
"10.10.2022","111,28","111,62","111,62","111,08","-0,42%"
"11.10.2022","111,41","111,19","111,78","111,00","0,12%"
"12.10.2022","111,75","111,62","111,88","111,41","0,31%"
"13.10.2022","111,33","111,62","112,38","110,39","-0,38%"
"14.10.2022","111,02","111,33","112,00","110,89","-0,28%"
"17.10.2022","111,08","111,05","111,73","111,03","0,05%"
"18.10.2022","111,30","111,09","111,44","110,89","0,20%"
"19.10.2022","110,38","111,27","111,27","110,27","-0,83%"
"20.10.2022","109,70","110,22","110,50","109,62","-0,62%"
"21.10.2022","110,11","109,70","110,25","109,19","0,37%"
"24.10.2022","110,03","110,16","110,75","109,75","-0,07%"
"25.10.2022","110,88","110,14","111,28","110,11","0,77%"
"26.10.2022","111,41","110,88","111,55","110,88","0,48%"
"27.10.2022","111,98","111,41","112,25","110,86","0,51%"
"28.10.2022","111,30","112,20","112,20","111,14","-0,61%"
"31.10.2022","110,88","111,14","111,25","110,69","-0,38%"
"01.11.2022","110,88","111,00","111,94","110,78","0,00%"
"02.11.2022","110,92","110,81","111,59","110,53","0,04%"
"03.11.2022","110,33","110,53","110,56","109,69","-0,53%"
"04.11.2022","110,34","110,14","110,67","109,73","0,01%"
"07.11.2022","109,92","110,39","110,45","109,86","-0,38%"
"08.11.2022","110,55","109,84","110,58","109,70","0,57%"
"09.11.2022","110,59","110,55","111,00","110,27","0,04%"
"10.11.2022","112,78","110,92","112,84","110,69","1,98%"
"11.11.2022","112,58","112,77","112,81","112,30","-0,18%"
"14.11.2022","112,41","112,45","112,48","112,17","-0,15%"
"15.11.2022","112,84","112,39","113,27","112,30","0,38%"
"16.11.2022","113,48","112,94","113,61","112,55","0,57%"
"17.11.2022","112,91","113,41","113,56","112,70","-0,50%"
"18.11.2022","112,56","112,89","113,06","112,48","-0,31%"
"21.11.2022","112,58","112,55","112,98","112,36","0,02%"
"22.11.2022","112,91","112,50","113,00","112,47","0,29%"
"23.11.2022","113,25","112,86","113,39","112,50","0,30%"
"24.11.2022","113,30","113,05","113,47","113,03","0,04%"
"25.11.2022","113,31","113,27","113,77","112,86","0,01%"
"28.11.2022","113,25","113,44","113,84","113,19","-0,05%"
"29.11.2022","112,98","113,33","113,64","112,88","-0,24%"
"30.11.2022","113,50","112,97","114,16","112,55","0,46%"
"01.12.2022","114,61","114,11","114,77","113,84","0,98%"
"02.12.2022","114,66","114,70","114,89","113,67","0,04%"
"05.12.2022","113,86","114,58","114,62","113,78","-0,70%"
"06.12.2022","114,36","113,98","114,41","113,78","0,44%"
"07.12.2022","115,16","114,23","115,20","114,06","0,70%"
"08.12.2022","114,45","115,00","115,03","114,38","-0,62%"
"09.12.2022","114,09","114,52","114,77","113,92","-0,31%"
"12.12.2022","113,83","113,97","114,39","113,70","-0,23%"
"13.12.2022","114,78","113,84","115,36","113,78","0,83%"
"14.12.2022","114,72","114,72","115,06","114,25","-0,05%"
"15.12.2022","114,92","114,95","115,08","114,56","0,17%"
"16.12.2022","114,81","114,94","114,95","114,19","-0,10%"
"19.12.2022","114,14","114,70","114,72","114,02","-0,58%"
"20.12.2022","113,53","114,14","114,17","113,31","-0,53%"
"21.12.2022","113,56","113,50","114,05","113,30","0,03%"
"22.12.2022","113,55","113,67","113,91","113,42","-0,01%"
"23.12.2022","113,08","113,42","113,48","112,97","-0,41%"
"25.12.2022","113,19","113,19","113,19","113,19","0,10%"
"26.12.2022","113,14","113,19","113,19","113,11","-0,04%"
"27.12.2022","112,33","113,19","113,20","112,31","-0,72%"
"28.12.2022","112,19","112,48","112,69","112,12","-0,12%"
"29.12.2022","112,44","112,22","112,56","112,16","0,22%"
"30.12.2022","112,30","112,50","112,52","111,88","-0,12%"
